ID,Name,TeamName,Role
0,★ ⑳ Rickbraz -ttJ-,Wolsung (SEM ORG),Suporte
1,★ ⑳ leandraco,Flow Nocturns Gaming,
2,★ ⑳ matinaso,Flow Nocturns Gaming,
3,★ ⑳ fawkes,Wolsung (SEM ORG),AWPer
4,★ ⑳ theozin,Wolsung (SEM ORG),Lurker
5,★ ⑳ t4MAg,Flow Nocturns Gaming,
6,★ ⑳ sheep,Flow Nocturns Gaming,
7,★ ⑳ leoox,Wolsung (SEM ORG),IGL
8,★ ⑳ spn,Wolsung (SEM ORG),Entry Fragger
9,★ ⑳ limi7,Flow Nocturns Gaming,Entry Fragger
10,★ ⑳ KAISER,9z Academy,IGL
13,★ ⑳ roy,9z Academy,Suporte
15,★ ⑳ buda,9z Academy,Lurker
16,★ ⑳ FURQE,9z Academy,AWPer
17,★ ⑳ redmor,9z Academy,Entry Fragger
20,★ ⑳ shut,SEMORG!,IGL
21,★ ⑳ EduGOD,BROKEN,Lurker
22,★ ⑳ abg,SEMORG!,Lurker
23,★ ⑳ deg,BROKEN,Entry Fragger
24,★ ⑳ BR2DES7DACORO,SEMORG!,AWPer
25,★ ⑳ PedrinS3,SEMORG!,Suporte
26,★ ⑳ aranw,BROKEN,IGL
27,★ ⑳ yokz,BROKEN,Entry Fragger
28,★ ⑳ BR2LUKDACORO,SEMORG!,
29,★ ⑳ syncmau,BROKEN,Entry Fragger
30,★ ⑳ gaspaaR,Ciam Gaming,
31,★ ⑳ TATAN',STREAM TEAM,
32,★ ⑳ stezatri;(,STREAM TEAM,
33,★ ⑳ loky,Ciam Gaming,AWPer
34,★ ⑳ NesToR,STREAM TEAM,
35,★ ⑳ doczin,Ciam Gaming,
36,★ ⑳ NICKY WONDERS,STREAM TEAM,
37,★ ⑳ Ayman,Ciam Gaming,
38,★ ⑳ huffyn.,Ciam Gaming,
39,★ ⑳ BALLER,STREAM TEAM,Entry Fragger
40,★ ⑳ guihhzo,GSTFAMILY,
41,★ ⑱ Fvn-,Action X,
42,★ ⑳ gMsss,Action X,Lurker
43,★ ⑳ PACxM4N,GSTFAMILY,
44,★ ⑳ Delacroix,Action X,IGL
46,★ ⑰ twitch.tv/Balthman,Action X,Entry Fragger
47,★ ⑳ divine,GSTFAMILY,
48,★ ⑳ Kadzz,Action X,Suporte
49,★ ⑳ hitt,GSTFAMILY,
51,★ ⑳ MANAUARA,7belo - VERTIGO,
53,★ ⑳ SENOR VAC,7belo - VERTIGO,
55,★ ⑳ jnzik4-,7belo - VERTIGO,Lurker
58,★ ⑳ Maloquitaaaa,7belo - VERTIGO,Entry Fragger
59,★ ⑳ Ax1LeGOD,7belo - VERTIGO,
60,★ ⑳ mafeu,You Never Know,
61,★ ⑳ jack,DeserveIT,
62,★ ⑳ tr1n,DeserveIT,
63,★ ⑳ FakeFox,You Never Know,
64,★ ⑳ fhz=d!!!,DeserveIT,
65,★ ⑳ Drena,You Never Know,
66,★ ⑳ RNN,DeserveIT,
67,★ ⑳ rafa',You Never Know,
68,★ ⑳ zeitsev,DeserveIT,
69,★ ⑳ nz.,You Never Know,
70,★ ⑳ -shiryu,INSONY e-sports,
71,★ ⑳ gexj,WAP Esports,
72,★ ⑳ Farés,WAP Esports,IGL
73,★ ⑳ A$AP Gonobu,INSONY e-sports,
74,★ ⑳ aguze [t],WAP Esports,Entry Fragger
75,★ ⑳ kouzy-,WAP Esports,Entry Fragger
76,★ ⑳ honest,INSONY e-sports,
77,★ ⑳ Dheltinha ♥,INSONY e-sports,
78,★ ⑳ phzinho_-,INSONY e-sports,
79,★ ⑳ Raphiita,WAP Esports,AWPer
82,★ ⑳ cenik,A12,
83,★ ⑳ amaz!ng,SUGOI! Gakkou,
84,★ ⑳ Correa,A12,
85,★ ⑳ singlezao,SUGOI! Gakkou,
86,★ ⑳ enzao,A12,
88,★ ⑳ Shambles,SUGOI! Gakkou,
89,★ ⑳ burrito,A12,
90,★ ⑳ sh@kuRR-',NYXE ESPORTS,
93,★ ⑳ AleKsiS,NYXE ESPORTS,
94,★ ⑳ get,NYXE ESPORTS,
95,★ ⑳ KINAL,NYXE ESPORTS,Lurker
97,★ ⑳ -Invic7um_,NYXE ESPORTS,IGL
100,★ ⑳ ttw,UFSCar FiRE,
101,★ ⑳ aguze [t],WAP Esports,Entry Fragger
102,★ ⑳ Raphiita,WAP Esports,AWPer
103,★ ⑳ goko,UFSCar FiRE,
104,★ ⑳ dengue,UFSCar FiRE,
105,★ ⑳ kouzy-,WAP Esports,
106,★ ⑳ gobbs,UFSCar FiRE,
107,★ ⑳ aguwall,WAP Esports,
108,★ ⑳ Farés,WAP Esports,
109,★ ⑳ rafinha,UFSCar FiRE,
110,★ ⑳ Neephzinho,SELVA,
111,★ ⑳ el jean the ONE,RealDeal Rise,
112,★ ⑳ CyBeR,RealDeal Rise,
113,★ ⑳ motm,SELVA,
114,★ ⑳ respectless,SELVA,
115,★ ⑳ kkkkkkkkkkkkkkkk,SELVA,
116,★ ⑳ igux fan,RealDeal Rise,
117,★ ⑳ 000,SELVA,
118,★ ⑳ ayatinho,RealDeal Rise,
119,★ ⑳ Leozzvn_ ♥t,RealDeal Rise,
120,★ ⑳ jAPA,Havan Liberty Academy,
121,★ ⑳ brn$,KG Academy,
122,★ ⑳ nax,Havan Liberty Academy,
123,★ ⑳ FFFELIPINHO1F,KG Academy,
124,★ ⑳ maybe one day,Havan Liberty Academy,
125,★ ⑳ jicozera,Havan Liberty Academy,
126,★ ⑳ antonini,KG Academy,
127,★ ⑳ pedrinzy,KG Academy,
128,★ ⑳ LzBK,KG Academy,
129,★ ⑳ Ax1Le,Havan Liberty Academy,
130,★ ⑳ SPIKEEEY,orgless-,
131,★ ⑳ n1troX,en$aboado$,
132,★ ⑳ ADENA,orgless-,
133,★ ⑳ edv †,en$aboado$,
134,★ ⑳ gbrkK[1],en$aboado$,
135,★ ⑳ Lemao,orgless-,
136,★ ⑳ lo crix,orgless-,
137,★ ⑳ n0page,en$aboado$,
138,★ ⑳ riickwow -,en$aboado$,
139,★ ⑳ lbz,orgless-,
140,★ ⑳ juarez4tw,PEGUEI SUA IRMA,
141,★ ⑳ vNs;,SpaceStre$$,
142,★ ⑳ Benedetti,PEGUEI SUA IRMA,
143,★ ⑳ phs-,SpaceStre$$,
144,★ ⑳ ateeex,PEGUEI SUA IRMA,
145,★ ⑳ sTawer,SpaceStre$$,
146,★ ⑳ gst,PEGUEI SUA IRMA,
147,★ ⑳ priamind_,SpaceStre$$,
148,★ ⑳ Maykao,PEGUEI SUA IRMA,
149,★ ⑲ xaaxaxxa,SpaceStre$$,
150,★ ⑳ speedy,0,
151,★ ⑳ 4NTEDEGUEM0N,RDW Esports,
152,★ ⑳ eBRO knark,eBRO,
153,★ ⑳ keitw0o,0,
154,★ ⑳ sai,0,
155,★ ⑳ LEu[1],eBRO,
156,★ ⑳ BR1TO,RDW Esports,
157,★ ⑳ kaydan,RDW Esports,
158,★ ⑳ xanc,eBRO,
159,★ ⑳ kai,0,
160,★ ⑳ Fuka,Tropinha do Zap,
161,★ ⑳ not tHe dRuNky,Aposentados e Perigosos,
162,★ ⑳ SWITCH DO MINDTRIP_^,Aposentados e Perigosos,
163,★ ⑳ molten-_+,Tropinha do Zap,
164,★ ⑳ indian,Aposentados e Perigosos,
165,★ ⑳ toma do feioso,Tropinha do Zap,
166,★ ⑳ Smart,Aposentados e Perigosos,
167,★ ⑳ DoublePapada PEEK,Tropinha do Zap,
168,★ ⑳ guardinha da CET,Tropinha do Zap,
169,★ ⑳ BTN1 RX,Aposentados e Perigosos,
170,★ ⑳ under`64,NaoTemOrg,
171,★ ⑳ calc,NUKEGG,
172,★ ⑳ aessy,NaoTemOrg,
173,★ ⑳ leleocs1,NUKEGG,
174,★ ⑳ duquie,NUKEGG,
175,★ ⑳ alexandre_,NaoTemOrg,
176,★ ⑳ noezErA;,NaoTemOrg,
177,★ ⑳ Jah-ras,NUKEGG,
178,★ ⑳ celok,NaoTemOrg,
179,★ ⑳ zyxky_-,NUKEGG,
180,★ ⑳ 1nrq :],Eldorado Legends,
181,★ ⑳ rod^,Team Lambda,
182,★ ⑳ Tryzin,Eldorado Legends,
183,★ ⑳ mrcL,Eldorado Legends,
184,★ ⑳ luch,Team Lambda,
185,★ ⑳ Aaa,Eldorado Legends,
186,★ ⑳ boz0,Team Lambda,
187,★ ⑳ sbramos,Eldorado Legends,
188,★ ⑳ Bluédi,Team Lambda,
189,★ ⑳ eddu,0,
190,king,SEVEN,
191,WillziN,Red Skull Esports,
192,HaroO',SEVEN,Suporte
193,★,Red Skull Esports,
194,yan,Red Skull Esports,
195,GdA,SEVEN,
196,Amaral_,SEVEN,
197,K1nG L0rd$❤️L,Red Skull Esports,
198,Under,SEVEN,
199,krustyYyY,Red Skull Esports,
200,★ ⑳ brk,0,
201,★ ⑳ k1n,0,
202,★ ⑳ rNk,Titans Esports,
203,★ ⑳ LYO^_^,godenvyus,
204,★ ⑳ N1v,Titans Esports,
205,★ ⑳ hn1,Titans Esports,
206,★ ⑳ iso,godenvyus,
207,★ ⑳ t9mpest,godenvyus,
208,★ ⑳ ped,0,
209,★ ⑳ DexteR,0,
210,★ ⑳ 'r4,0,
211,★ ⑳ Dheltinha ♥,INSONY e-sports,
212,★ ⑳ goko,UFSCar FiRE,
213,★ ⑳ dengue,UFSCar FiRE,
214,★ ⑳ phzinho_-,INSONY e-sports,
215,★ ⑳ A$AP Gonobu,INSONY e-sports,
216,★ ⑳ gobbs,UFSCar FiRE,
217,★ ⑳ NaNiN1,UFSCar FiRE,
218,★ ⑳ -shiryu,INSONY e-sports,
219,★ ⑳ honest,INSONY e-sports,
220,★ ⑳ rafinha,UFSCar FiRE,
221,★ ⑳ BR2DES7DACORO,SEMORG!,AWPer
222,★ ⑳ SlayGG^^ *@high.skins,Galacticos (NO-ORG),
223,★ ⑳ abg,SEMORG!,Lurker
224,★ ⑳ KrN *@high.skins,Galacticos (NO-ORG),
225,★ ⑳ PedrinS3,SEMORG!,Suporte
226,★ ⑳ BiT$ *@high.skins,Galacticos (NO-ORG),
227,★ ⑳ shut,SEMORG!,
228,★ ⑳ BR2LUKDACORO,SEMORG!,
229,★ ⑳ JMSfps *@high.skins,Galacticos (NO-ORG),
230,★ ⑳ patozer4 *@high.skins,0,
231,★ ⑳ synerg,SUGOI! e-Sports,
232,★ ⑱ Fvn-,Action X,
233,★ ⑳ complex,SUGOI! e-Sports,
234,★ ⑳ Delacroix,Action X,
235,★ ⑳ vlx,SUGOI! e-Sports,
236,★ ⑱ twitch.tv/Balthman,Action X,
237,★ ⑳ CHA,SUGOI! e-Sports,
238,★ ⑳ ruizz,SUGOI! e-Sports,
239,★ ⑳ Kadzz,Action X,Suporte
240,★ ⑳ gMsss,Action X,Lurker
241,★ ⑳ riickwow -,en$aboado$,
242,★ ⑳ emut1,D0G$ P33K,
243,★ ⑳ ghtzao,D0G$ P33K,
244,★ ⑳ n0page,en$aboado$,
245,★ ⑳ gbrkK[1],en$aboado$,
246,★ ⑰ DZ Fuuuguetin,D0G$ P33K,
247,★ ⑳ edv †,en$aboado$,
248,★ ⑳ sLipzeraA ♦,D0G$ P33K,
249,★ ⑳ roro LEONHART,D0G$ P33K,
250,★ ⑳ n1troX,en$aboado$,
251,★ ⑳ SENOR VAC,7belo,
252,★ ⑳ phs-,SpaceStre$$,
253,★ ⑳ priamind_,SpaceStre$$,
254,★ ⑳ Maloquitaaaa,7belo,
255,★ ⑲ xaaxaxxa,SpaceStre$$,
256,★ ⑳ GuiZA00 RENK RENK,7belo,
257,★ ⑳ jnzik4-,7belo,
258,★ ⑳ vNs;,SpaceStre$$,
259,★ ⑳ Dekuuj,7belo,
260,★ ⑳ sTawer,SpaceStre$$,
261,★ ⑳ stezatri;(,STREAM TEAM,
262,★ ⑳ Under,SEVEN,
263,★ ⑳ Amaral_,SEVEN,
264,★ ⑳ TATAN',STREAM TEAM,
265,★ ⑳ HAROO,SEVEN,
266,★ ⑳ NICKY WONDERS,STREAM TEAM,
267,★ ⑳ GdA,SEVEN,
268,★ ⑳ Straka,STREAM TEAM,
269,★ ⑳ king,SEVEN,AWPer
270,★ ⑳ BALLER,STREAM TEAM,
271,★ ⑳ gabriellll,UR$O,
272,★ ⑳ nollan,UFSC TITANS,
273,★ ⑳ KOBE,UR$O,
274,★ ⑳ GAFTE,UFSC TITANS,
275,★ ⑳ sf_,UR$O,
276,★ ⑳ stanckz,UFSC TITANS,
277,★ ⑳ gu1,UR$O,
278,★ ⑳ lesteR7!,UFSC TITANS,
279,★ ⑳ Khabib Nurmagomedov,UR$O,
280,★ ⑳ Little rubber duck,UFSC TITANS,
