campeonato,partida,demo
https://gamersclub.com.br/campeonatos/csgo/4438,https://gamersclub.com.br/campeonatos/csgo/4438/partida/306407,https://prod-demo-parser-gc-demos.s3.amazonaws.com/684909_de_dust2_selecao-no-org_durany.zip
https://gamersclub.com.br/campeonatos/csgo/4438,https://gamersclub.com.br/campeonatos/csgo/4438/partida/306407,https://prod-demo-parser-gc-demos.s3.amazonaws.com/685080_de_vertigo_selecao-no-org_durany.zip
https://gamersclub.com.br/campeonatos/csgo/4438,https://gamersclub.com.br/campeonatos/csgo/4438/partida/306407,https://prod-demo-parser-gc-demos.s3.amazonaws.com/685212_de_mirage_selecao-no-org_durany.zip
https://gamersclub.com.br/campeonatos/csgo/4438,https://gamersclub.com.br/campeonatos/csgo/4438/partida/306408,https://prod-demo-parser-gc-demos.s3.amazonaws.com/679201_de_overpass_santos-e-sports_rush-esports.zip
https://gamersclub.com.br/campeonatos/csgo/4438,https://gamersclub.com.br/campeonatos/csgo/4438/partida/306408,https://prod-demo-parser-gc-demos.s3.amazonaws.com/679479_de_mirage_santos-e-sports_rush-esports.zip
https://gamersclub.com.br/campeonatos/csgo/4438,https://gamersclub.com.br/campeonatos/csgo/4438/partida/306411,https://prod-demo-parser-gc-demos.s3.amazonaws.com/676822_de_nuke_rush-esports_meta-gaming.zip
https://gamersclub.com.br/campeonatos/csgo/4438,https://gamersclub.com.br/campeonatos/csgo/4438/partida/306411,https://prod-demo-parser-gc-demos.s3.amazonaws.com/677034_de_dust2_rush-esports_meta-gaming.zip
https://gamersclub.com.br/campeonatos/csgo/4438,https://gamersclub.com.br/campeonatos/csgo/4438/partida/306411,https://prod-demo-parser-gc-demos.s3.amazonaws.com/677438_de_train_rush-esports_meta-gaming.zip
https://gamersclub.com.br/campeonatos/csgo/4438,https://gamersclub.com.br/campeonatos/csgo/4438/partida/306412,https://prod-demo-parser-gc-demos.s3.amazonaws.com/682222_de_inferno_rush-esports_durany.zip
https://gamersclub.com.br/campeonatos/csgo/4438,https://gamersclub.com.br/campeonatos/csgo/4438/partida/306412,https://prod-demo-parser-gc-demos.s3.amazonaws.com/682240_de_dust2_rush-esports_durany.zip
https://gamersclub.com.br/campeonatos/csgo/4438,https://gamersclub.com.br/campeonatos/csgo/4438/partida/306412,https://prod-demo-parser-gc-demos.s3.amazonaws.com/682289_de_nuke_rush-esports_durany.zip
https://gamersclub.com.br/campeonatos/csgo/4438,https://gamersclub.com.br/campeonatos/csgo/4438/partida/306415,https://prod-demo-parser-gc-demos.s3.amazonaws.com/676671_de_inferno_vivo-keyd_procyon-team.zip
https://gamersclub.com.br/campeonatos/csgo/4438,https://gamersclub.com.br/campeonatos/csgo/4438/partida/306415,https://prod-demo-parser-gc-demos.s3.amazonaws.com/676873_de_nuke_vivo-keyd_procyon-team.zip
https://gamersclub.com.br/campeonatos/csgo/4438,https://gamersclub.com.br/campeonatos/csgo/4438/partida/306421,https://prod-demo-parser-gc-demos.s3.amazonaws.com/682147_de_inferno_procyon-team_kg-network.zip
https://gamersclub.com.br/campeonatos/csgo/4438,https://gamersclub.com.br/campeonatos/csgo/4438/partida/306421,https://prod-demo-parser-gc-demos.s3.amazonaws.com/682221_de_train_procyon-team_kg-network.zip
https://gamersclub.com.br/campeonatos/csgo/4438,https://gamersclub.com.br/campeonatos/csgo/4438/partida/306422,https://prod-demo-parser-gc-demos.s3.amazonaws.com/678748_de_dust2_procyon-team_jaguares.zip
https://gamersclub.com.br/campeonatos/csgo/4438,https://gamersclub.com.br/campeonatos/csgo/4438/partida/306422,https://prod-demo-parser-gc-demos.s3.amazonaws.com/678872_de_nuke_procyon-team_jaguares.zip
https://gamersclub.com.br/campeonatos/csgo/4438,https://gamersclub.com.br/campeonatos/csgo/4438/partida/306423,https://prod-demo-parser-gc-demos.s3.amazonaws.com/676431_de_dust2_kg-network_jaguares.zip
https://gamersclub.com.br/campeonatos/csgo/4438,https://gamersclub.com.br/campeonatos/csgo/4438/partida/306423,https://prod-demo-parser-gc-demos.s3.amazonaws.com/676550_de_train_kg-network_jaguares.zip
https://gamersclub.com.br/campeonatos/csgo/4438,https://gamersclub.com.br/campeonatos/csgo/4438/partida/306423,https://prod-demo-parser-gc-demos.s3.amazonaws.com/676687_de_mirage_kg-network_jaguares.zip
https://gamersclub.com.br/campeonatos/csgo/4439,https://gamersclub.com.br/campeonatos/csgo/4439/partida/302699,https://prod-demo-parser-gc-demos.s3.amazonaws.com/678648_de_inferno_detona_wolsung-sem-org.zip
https://gamersclub.com.br/campeonatos/csgo/4439,https://gamersclub.com.br/campeonatos/csgo/4439/partida/302700,https://prod-demo-parser-gc-demos.s3.amazonaws.com/679774_de_dust2_detona_ceara-sporting-club.zip
https://gamersclub.com.br/campeonatos/csgo/4439,https://gamersclub.com.br/campeonatos/csgo/4439/partida/302701,https://prod-demo-parser-gc-demos.s3.amazonaws.com/679207_de_nuke_detona_no-org.zip
https://gamersclub.com.br/campeonatos/csgo/4439,https://gamersclub.com.br/campeonatos/csgo/4439/partida/302702,https://prod-demo-parser-gc-demos.s3.amazonaws.com/674564_de_nuke_detona_flow-nocturns-gaming.zip
https://gamersclub.com.br/campeonatos/csgo/4439,https://gamersclub.com.br/campeonatos/csgo/4439/partida/302703,https://prod-demo-parser-gc-demos.s3.amazonaws.com/676981_de_inferno_detona_atletico-goianiense-esports.zip
