,Name,TeamName,Killed,Death,ADR,TotalDamageDealt,RoundMVPs,LastAliveQuantity,Clutches,FirstKills,FirstDeaths,FlashedEnemies,FlashAssists,BombsPlanted,WalkQuantityAsTR,WalkQuantityAsCT,DistanceTraveledAsTR,DistanceTraveledAsCT,AK47Kills,MAC10Kills,M4A4Kills,MP9Kills,AWPKills,ScoutKills
0,★ ⑳ leandraco,Flow Nocturns Gaming,0.220930232558139,0.223404255319148,0.24242973708068902,0.24242973708068902,0.0,0.07142857142857101,0.0,0.28571428571428503,0.28571428571428503,0.10714285714285701,0.1,0.2,0.20976451841359703,7411,0.197285728311052,108434.4,0.32258064516129004,0.0,0.14285714285714202,0.0,0.0,0.0
1,★ ⑳ matinaso,Flow Nocturns Gaming,0.162790697674418,0.234042553191489,0.17398005439709802,0.17398005439709802,0.125,0.07142857142857101,0.0,0.21428571428571402,0.21428571428571402,0.08928571428571401,0.1,0.0,0.18995662181303102,5406,0.20122347209308702,95097.13,0.19354838709677402,0.0,0.5714285714285711,0.0,0.09090909090909001,0.0
2,★ ⑳ t4MAg,Flow Nocturns Gaming,0.220930232558139,0.170212765957446,0.17588395285584701,0.17588395285584701,0.125,0.28571428571428503,0.0,0.14285714285714202,0.0,0.196428571428571,0.2,0.2,0.20735216005665702,5890,0.20268246610017202,108803.14,0.19354838709677402,0.0,0.0,0.0,0.18181818181818102,0.25
3,★ ⑳ sheep,Flow Nocturns Gaming,0.13953488372093,0.20212765957446802,0.16155938349954602,0.16155938349954602,0.25,0.35714285714285704,1.0,0.28571428571428503,0.14285714285714202,0.125,0.0,0.1,0.217554886685552,7660,0.19644217572344702,101343.74,0.25806451612903203,0.0,0.14285714285714202,0.0,0.0,0.0
4,★ ⑳ limi7,Flow Nocturns Gaming,0.255813953488372,0.170212765957446,0.24614687216681702,0.24614687216681702,0.5,0.21428571428571402,0.0,0.07142857142857101,0.35714285714285704,0.48214285714285704,0.6000000000000001,0.5,0.175371813031161,6444,0.20236615777224,104005.83,0.032258064516129004,0.0,0.14285714285714202,0.0,0.7272727272727271,0.75
5,★ ⑳ Rickbraz -ttJ-,Wolsung (SEM ORG),0.17204301075268802,0.22988505747126403,0.20238791016114202,0.20238791016114202,0.18181818181818102,0.33333333333333304,0.0,0.14285714285714202,0.21428571428571402,0.125,0.16666666666666602,0.125,0.183027551856755,7843,0.19994910997647503,167673.35,0.21428571428571402,0.0,0.31578947368421,0.0,0.0,0.0
6,★ ⑳ fawkes,Wolsung (SEM ORG),0.26881720430107503,0.160919540229885,0.25974785004592105,0.25974785004592105,0.09090909090909001,0.25,0.5,0.21428571428571402,0.0,0.33333333333333304,0.5,0.0,0.19147594729210002,5953,0.195657082561102,130194.45,0.07142857142857101,1.0,0.052631578947368,0.0,0.777777777777777,1.0
7,★ ⑳ theozin,Wolsung (SEM ORG),0.17204301075268802,0.18390804597701102,0.17199632629205902,0.17199632629205902,0.36363636363636304,0.08333333333333301,0.0,0.21428571428571402,0.21428571428571402,0.239583333333333,0.055555555555555004,0.625,0.21483513019355602,10054,0.19730622118635802,161190.72,0.25,0.0,0.26315789473684204,0.0,0.0,0.0
8,★ ⑳ leoox,Wolsung (SEM ORG),0.24731182795698903,0.25287356321839,0.25599064874342403,0.25599064874342403,0.09090909090909001,0.16666666666666602,0.0,0.28571428571428503,0.35714285714285704,0.125,0.16666666666666602,0.125,0.218491898367063,8148,0.208517648481015,169989.14,0.25,0.0,0.26315789473684204,0.0,0.22222222222222202,0.0
9,★ ⑳ spn,Wolsung (SEM ORG),0.13978494623655902,0.172413793103448,0.10987726475745101,0.10987726475745101,0.27272727272727204,0.16666666666666602,0.5,0.14285714285714202,0.21428571428571402,0.177083333333333,0.11111111111111101,0.125,0.192169472290523,8408,0.198569937795048,144247.1,0.21428571428571402,0.0,0.105263157894736,0.0,0.0,0.0
10,★ ⑳ KAISER,9z Academy,0.317460317460317,0.18556701030927802,0.271753520279215,0.271753520279215,0.2,0.35294117647058804,,0.11111111111111101,0.066666666666666,0.09375000000000001,0.15384615384615302,0.6000000000000001,0.19752200007364001,3189,0.201092426475692,69316.24,0.21428571428571402,1.0,0.0,0.2,1.0,0.0
11,★ ⑳ roy,9z Academy,0.174603174603174,0.21649484536082403,0.19340474184619003,0.19340474184619003,0.2,0.11764705882352901,,0.11111111111111101,0.066666666666666,0.5,0.384615384615384,0.0,0.211973931293493,3126,0.20680900540353503,70722.0,0.25,0.0,0.0,0.2,0.0,0.0
12,★ ⑳ buda,9z Academy,0.158730158730158,0.21649484536082403,0.17727765074016102,0.17727765074016102,0.0,0.058823529411764004,,0.33333333333333304,0.46666666666666606,0.125,0.0,0.0,0.18130269892116702,3795,0.19465048583576802,77852.34,0.28571428571428503,0.0,0.0,0.2,0.0,0.0
13,★ ⑳ FURQE,9z Academy,0.14285714285714202,0.195876288659793,0.13395113732097702,0.13395113732097702,0.0,0.29411764705882304,,0.11111111111111101,0.133333333333333,0.1875,0.07692307692307601,0.4,0.186218196546264,4133,0.19380805594107803,72077.16,0.035714285714285005,0.0,1.0,0.2,0.0,0.0
14,★ ⑳ redmor,9z Academy,0.206349206349206,0.18556701030927802,0.22361294981345503,0.22361294981345503,0.6000000000000001,0.17647058823529402,,0.33333333333333304,0.266666666666666,0.09375000000000001,0.384615384615384,0.0,0.222983173165433,4121,0.20364002634392503,66737.29,0.21428571428571402,0.0,0.0,0.2,0.0,0.0
15,★ ⑳ ksloks,Rush Youngsters,0.25510204081632604,0.138461538461538,0.23011239871046402,0.23011239871046402,0.27272727272727204,0.11111111111111101,0.0,0.33333333333333304,0.44444444444444403,0.22222222222222202,0.2,0.75,0.16917075989598301,4674,0.215376002829395,126321.01,0.12,0.0,0.0,0.6000000000000001,0.647058823529411,0.0
16,★ ⑳ aNgelzera,Rush Youngsters,0.14285714285714202,0.2,0.124684150910516,0.124684150910516,0.0,0.0,0.0,0.066666666666666,0.11111111111111101,0.11111111111111101,0.0,0.0,0.22864297409226603,6393,0.19542342407367902,128358.48,0.2,1.0,0.30000000000000004,0.0,0.0,0.0
17,★ ⑳ Brabo,Rush Youngsters,0.19387755102040802,0.23076923076923,0.231942145159884,0.231942145159884,0.27272727272727204,0.22222222222222202,0.0,0.133333333333333,0.44444444444444403,0.138888888888888,0.2,0.0,0.226283347780025,7662,0.19593563125471403,131565.31,0.32,0.0,0.30000000000000004,0.0,0.0,0.0
18,★ ⑳ Shout,Rush Youngsters,0.25510204081632604,0.2,0.28735732334233605,0.28735732334233605,0.27272727272727204,0.22222222222222202,1.0,0.33333333333333304,0.0,0.25,0.266666666666666,0.0,0.19763074255995303,7399,0.20024872695251703,144499.8,0.24,0.0,0.15,0.4,0.35294117647058804,0.0
19,★ ⑳ mlc,Rush Youngsters,0.153061224489795,0.23076923076923,0.12590398187679702,0.12590398187679702,0.18181818181818102,0.44444444444444403,0.0,0.133333333333333,0.0,0.277777777777777,0.33333333333333304,0.25,0.178272175671771,7338,0.193016214889693,128734.48,0.12,0.0,0.25,0.0,0.0,0.0
20,★ ⑳ shut,SEMORG!,0.194174757281553,0.23076923076923,0.178469830812995,0.178469830812995,0.27272727272727204,0.30769230769230704,0.0,0.30769230769230704,0.33333333333333304,0.26027397260273905,0.36363636363636304,0.0,0.20955289930012702,7400,0.206710542776518,105219.33,0.23255813953488302,0.0,0.23076923076923,0.75,0.0,0.0
