,Name,TeamName,Killed,Death,ADR,TotalDamageDealt,RoundMVPs,FlashAssists,BombsPlanted,Clutches,FirstKills,FirstDeaths,FlashedEnemies,WalkQuantityAsTR,DistanceTraveledAsTR,DistanceTraveledAsCT,Knife,Glock,AK47,Deagle,AWP,MP5SD,Swag7,M4A1,M4A4,USP,Famas,Scout,AUG,FiveSeven,Desconhecido,Gallil
0,★ ㉑ HAHAHA,Time HAHAHA,22,15,144.0,2885,3,1,4,0,6,2,7,3581,108198.6,26301.01,0.0,1.0,17,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,★ ⑳ stanckz,Time RAVIZAUM,15,17,104.0,2099,0,2,0,0,0,0,2,1297,27083.61,97930.38,1.0,0.0,7,1,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,★ ㉑ perez,Time HAHAHA,18,10,120.0,2416,5,1,0,0,2,0,9,3364,111759.64,27815.71,0.0,1.0,11,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0
3,★ ⑳ RAVIZAUM,Time RAVIZAUM,13,17,66.0,1325,0,0,0,1,1,3,1,1310,26208.6,89310.3,1.0,0.0,3,3,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,★ ⑳ tge,Time HAHAHA,11,9,72.0,1448,0,2,3,1,2,2,14,4270,111307.69,29580.42,0.0,0.0,10,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,★ ⑳ Mr. Clutch,Time RAVIZAUM,14,17,70.0,1417,2,1,0,0,5,5,2,1423,25649.17,97269.35,2.0,0.0,1,4,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,★ ㉑ y4s,Time HAHAHA,18,13,99.0,1998,3,2,0,0,0,2,8,3447,114803.43,33635.96,0.0,0.0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0
7,⑳ kgx,Time RAVIZAUM,10,19,76.0,1537,1,0,0,0,0,3,3,1681,26597.52,115090.53,1.0,0.0,0,1,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,★ ㉑ nythonv,Time HAHAHA,19,13,135.0,2714,3,0,3,0,5,1,7,2547,121083.07,32046.81,0.0,1.0,5,0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0
9,★ ⑲ RA$CA1333,Time RAVIZAUM,7,19,50.0,1013,1,0,0,0,1,4,4,1864,27344.49,98483.29,0.0,0.0,1,1,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
