,Name,TeamName,Killed,Death,ADR,TotalDamageDealt,RoundMVPs,FlashAssists,BombsPlanted,Clutches,FirstKills,FirstDeaths,FlashedEnemies,WalkQuantityAsTR,DistanceTraveledAsTR,DistanceTraveledAsCT,Knife,Glock,USP,Mac10,Famas,M4A4,AK47,AUG,AWP,M4A1,Gallil,Incendiary,Scar20,MP9,P250,Revolver,MP7,Swag7,Deagle,P90,Scout,HE,Tec9,MP5SD,P2000,Desconhecido
0,★ ⑰ barreto,Time Lio,14,21,91.0,2280,0,1,2,0,2,3,1,10923,147011.59,117953.82,0.0,1.0,1,1.0,0.0,4,4,0.0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,★ ⑨ savilek,Time Pato,19,16,96.0,2413,1,2,2,2,3,1,2,9458,113882.95,136375.73,1.0,1.0,1,0.0,1.0,1,8,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,⑯ baaaaa,Time Lio,20,21,119.0,2978,2,1,2,0,2,1,2,10376,139229.18,114598.44,0.0,0.0,3,1.0,0.0,5,2,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,☆ ⑱ Pato,Time Pato,10,19,72.0,1804,2,5,2,1,0,3,1,7674,123318.6,146932.18,1.0,0.0,0,0.0,0.0,2,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,☆ ⑬ Lio,Time Lio,18,20,92.0,2309,1,1,1,0,2,4,3,10571,144522.23,104608.97,1.0,0.0,2,0.0,0.0,0,7,0.0,1,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5,⑩ Paulaum,Time Lio,12,21,61.0,1533,2,2,2,0,2,3,2,11697,154343.32,119039.18,0.0,0.0,0,0.0,0.0,0,3,0.0,1,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6,☆ ⑭ Roox,Time Pato,26,17,108.0,2716,4,0,1,0,4,1,0,8483,108835.71,137389.32,3.0,1.0,2,0.0,2.0,0,4,0.0,8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7,⑮ Thurzão,Time Lio,23,22,107.0,2686,1,1,0,0,4,4,2,9104,146869.9,126111.49,0.0,0.0,0,1.0,2.0,8,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,⑳ SILVASSAURO,Time Pato,28,18,116.0,2903,4,2,2,2,3,4,3,8154,102974.04,140485.7,1.0,1.0,3,0.0,0.0,5,10,0.0,0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
9,⑲ DRILÃO,0,21,17,110.0,2755,4,0,0,0,5,3,3,6650,112974.42,147505.9,0.0,2.0,0,1.0,0.0,5,6,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
