,Name,TeamName,Killed,Death,ADR,TotalDamageDealt,RoundMVPs,FlashAssists,BombsPlanted,Clutches,FirstKills,FirstDeaths,FlashedEnemies,WalkQuantityAsTR,DistanceTraveledAsTR,DistanceTraveledAsCT,USP,MP9,AK47,AWP,M4A4,Famas,P250,Glock,Deagle,Gallil,Scout,Incendiary,AUG,UMP,Desconhecido,HE
0,SANJI,0,18,16,74.0,2170,3,3,3,1,2,1,28,46220,158496.42,139198.72,1.0,0.0,11,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,FalleN,0,8,15,43.0,1250,0,6,4,0,2,1,31,43315,159132.3,144040.06,0.0,1.0,2,2,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,qikert,Virtus.pro Parimatch,20,19,88.0,2576,2,0,2,0,2,5,14,57470,151712.22,163043.47,0.0,0.0,14,0,2,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
3,Stewie2K,Team Liquid,19,19,86.0,2512,1,3,2,0,4,7,12,65062,167018.57,157140.52,2.0,1.0,6,0,5,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,buster,Virtus.pro Parimatch,12,17,68.0,1988,0,3,0,0,1,2,13,52145,145798.98,157886.14,0.0,0.0,4,1,2,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5,NAF,Team Liquid,18,17,76.0,2230,1,1,0,1,4,1,20,53266,165761.25,159368.32,1.0,0.0,4,5,0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,YEKINDAR,Virtus.pro Parimatch,23,21,104.0,3024,5,1,1,0,6,5,27,54754,158734.78,168990.4,1.0,0.0,15,0,2,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Grim,Team Liquid,12,22,55.0,1598,1,1,2,0,0,3,32,55272,153423.62,157610.74,1.0,1.0,2,0,3,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Jame,Virtus.pro Parimatch,16,15,73.0,2140,0,3,1,1,4,1,24,35521,145118.98,121039.95,0.0,0.0,0,12,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,EliGE,Team Liquid,30,16,124.0,3624,7,0,1,0,4,3,27,53381,162307.22,166489.25,1.0,5.0,7,0,7,3.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0
