ID,Name,TeamName,Role
58,★ ⑳ Maloquitaaaa,7belo - VERTIGO,Entry Fragger
55,★ ⑳ jnzik4-,7belo - VERTIGO,Lurker
16,★ ⑳ FURQE,9z Academy,AWPer
17,★ ⑳ redmor,9z Academy,Entry Fragger
10,★ ⑳ KAISER,9z Academy,IGL
15,★ ⑳ buda,9z Academy,Lurker
13,★ ⑳ roy,9z Academy,Suporte
46,★ ⑰ twitch.tv/Balthman,Action X,Entry Fragger
1625,★ ⑰ twitch.tv/Balthman,Action X,Entry Fragger
2073,★ ⑰ twitch.tv/Balthman,Action X,Entry Fragger
44,★ ⑳ Delacroix,Action X,IGL
42,★ ⑳ gMsss,Action X,Lurker
240,★ ⑳ gMsss,Action X,Lurker
613,★ ⑳ gMsss,Action X,Lurker
1616,★ ⑳ gMsss,Action X,Lurker
2071,★ ⑳ gMsss,Action X,Lurker
2926,★ ⑳ gMsss,Action X,Lurker
48,★ ⑳ Kadzz,Action X,Suporte
239,★ ⑳ Kadzz,Action X,Suporte
621,★ ⑳ Kadzz,Action X,Suporte
1622,★ ⑳ Kadzz,Action X,Suporte
2075,★ ⑳ Kadzz,Action X,Suporte
2924,★ ⑳ Kadzz,Action X,Suporte
2389,★ ⑳ Leomonster,AWPer,Entry Fragger
3809,★ ㉑ wood7,Bravos Gaming,AWPer
3804,★ ㉑ tuurtle,Bravos Gaming,Entry Fragger
3801,★ ㉑ JO†A,Bravos Gaming,Lurker
2634,★ ⑳ wood7,Bravos Gaming,Suporte
23,★ ⑳ deg,BROKEN,Entry Fragger
27,★ ⑳ yokz,BROKEN,Entry Fragger
29,★ ⑳ syncmau,BROKEN,Entry Fragger
26,★ ⑳ aranw,BROKEN,IGL
21,★ ⑳ EduGOD,BROKEN,Lurker
33,★ ⑳ loky,Ciam Gaming,AWPer
3815,★ ㉑ nqz,DETONA,AWPer
3966,★ ㉑ nqz,DETONA,AWPer
4325,★ ㉑ nqz,DETONA,AWPer
4530,★ ㉑ nqz,DETONA,AWPer
4556,★ ㉑ nqz,DETONA,AWPer
3811,★ ㉑ frostezor,DETONA,IGL
3812,★ ㉑ NikoM,DETONA,Lurker
3706,★ ㉑ Emadlz,Durany,Entry Fragger
3719,★ ㉑ Emadlz,Durany,Entry Fragger
3721,★ ㉑ Emadlz,Durany,Entry Fragger
4566,★ ㉑ Emadlz,Durany,Entry Fragger
4582,★ ㉑ Emadlz,Durany,Entry Fragger
4590,★ ㉑ Emadlz,Durany,Entry Fragger
3708,★ ㉑ Yokowow xD!,Durany,IGL
9,★ ⑳ limi7,Flow Nocturns Gaming,Entry Fragger
1249,★ ⑳ zmb,FURIA Academy,AWPer
2399,★ ⑳ zmb,FURIA Academy,AWPer
2785,★ ⑳ zmb,FURIA Academy,AWPer
3079,★ ⑳ zmb,FURIA Academy,AWPer
2504,★ ⑳ LYO^_^,godenvyus,Lurker
525,★ ⑳ parEdao[9],INTZ,AWPer
3088,★ ⑳ chara *LogitechG,INTZ,Entry Fragger
1458,★ ⑳ guZERA,INTZ,Lurker
2589,★ ⑳ paiva,INTZ,Suporte
1397,★ ⑳ desh,Jaguares,AWPer
2357,★ ⑳ desh,Jaguares,AWPer
2397,★ ⑳ desh,Jaguares,AWPer
1400,★ ⑳ Leozin,Jaguares,Entry Fragger
2355,★ ⑳ Leomonster,Jaguares,Entry Fragger
1405,★ ⑳ kziN,Jaguares,IGL
2350,★ ⑳ kziN,Jaguares,IGL
2392,★ ⑳ kziN,Jaguares,IGL
1399,★ ⑳ roz-,Jaguares,Lurker
2353,★ ⑳ roz-,Jaguares,Lurker
2395,★ ⑳ roz-,Jaguares,Lurker
1404,★ ⑳ TEKO^__^,Jaguares,Suporte
2352,★ ⑳ TEKO^__^,Jaguares,Suporte
2391,★ ⑳ TEKO^__^,Jaguares,Suporte
1527,★ ⑳ 648,Meta Gaming,AWPer
1530,★ ⑳ rushardo,Meta Gaming,AWPer
1774,★ ⑳ rushardo,Meta Gaming,AWPer
2041,★ ⑳ rushardo,Meta Gaming,AWPer
1159,★ ⑳ k1nz,NYXE ESPORTS,Entry Fragger
2225,★ ⑳ k1nz,NYXE ESPORTS,Entry Fragger
3384,★ ⑳ k1nz,NYXE ESPORTS,Entry Fragger
97,★ ⑳ -Invic7um_,NYXE ESPORTS,IGL
1156,★ ⑳ -Invic7um_,NYXE ESPORTS,IGL
2226,★ ⑳ -Invic7um_,NYXE ESPORTS,IGL
3385,★ ⑳ -Invic7um_,NYXE ESPORTS,IGL
95,★ ⑳ KINAL,NYXE ESPORTS,Lurker
1162,★ ⑳ KINAL,NYXE ESPORTS,Lurker
2222,★ ⑳ KINAL,NYXE ESPORTS,Lurker
3386,★ ⑳ KiNAL=),NYXE ESPORTS,Lurker
3775,★ ㉑ nython,Paquetá Gaming,AWPer
1168,★ ⑳ De$tiNy,Paquetá Gaming,Entry Fragger
1281,★ ⑳ De$tiNy,Paquetá Gaming,Entry Fragger
3772,★ ㉑ De$tiNy,Paquetá Gaming,Entry Fragger
3979,★ ㉑ De$tiNy,Paquetá Gaming,Entry Fragger
4417,★ ㉑ De$tiNy,Paquetá Gaming,Entry Fragger
4539,★ ㉑ De$tiNy,Paquetá Gaming,Entry Fragger
4554,★ ㉑ De$tiNy,Paquetá Gaming,Entry Fragger
3770,★ ㉑ dav1d,Paquetá Gaming,Lurker
1172,★ ⑳ KHTEXy,Paquetá Gaming,Suporte
2059,★ ⑳ iDk,Paquetá Gaming,Suporte
2064,★ ⑳ KHTEXy,Paquetá Gaming,Suporte
3773,★ ㉑ iDk,Paquetá Gaming,Suporte
1370,★ ⑳ kissmyass,Procyon Team,AWPer
1584,★ ⑳ kissmyass,Procyon Team,AWPer
2358,★ ⑳ kissmyass,Procyon Team,AWPer
2390,★ ⑳ kissmyass,Procyon Team,AWPer
3684,★ ⑳ kissmyass,Procyon Team,AWPer
3692,★ ⑳ kissmyass,Procyon Team,AWPer
1366,★ ⑳ gAtito,Procyon Team,Entry Fragger
1582,★ ⑳ gAtito,Procyon Team,Entry Fragger
2356,★ ⑳ gAtito,Procyon Team,Entry Fragger
2393,★ ⑳ gAtito,Procyon Team,Entry Fragger
3686,★ ⑳ gAtito,Procyon Team,Entry Fragger
3695,★ ⑳ gAtito,Procyon Team,Entry Fragger
1374,★ ⑳ GATICA del PAM,Procyon Team,IGL
1532,★ ⑳ TimothyoDaZl,Rush eSports,AWPer
1771,★ ⑳ TimothyoDaZl,Rush eSports,AWPer
2040,★ ⑳ TimothyoDaZl,Rush eSports,AWPer
2735,★ ⑳ TimothyoDaZl,Rush eSports,AWPer
3002,★ ⑳ TimothyoDaZl,Rush eSports,AWPer
3709,★ ㉑ TimothyoDaZL,Rush eSports,AWPer
3717,★ ㉑ TimothyoDaZL,Rush eSports,AWPer
