,Role,Killed,Death,ADR,TotalDamageDealt,RoundMVPs,FlashAssists,BombsPlanted,Clutches,FirstKills,FirstDeaths,FlashedEnemies,P250,Gallil,AK47,M4A4,Famas,AWP,Tec9,USP,Scout,FiveSeven,Deagle,HE,Glock,UMP,Desconhecido,Mac10,MP9,M4A1,Incendiary,CZ,AUG,SG556,P2000,DualBarettas,Swag7,Zeus,P90,XM1014,MP7,MP5SD,Nova,M249,World,Scar20,Negev,Bizon,SawedOff,G3SG1
58,Entry Fragger,20,20,87.0,2267,3,0,2,1,2,1,4,0.0,0.0,12.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,Entry Fragger,26,39,95.0,4410,1,0,2,0,4,6,8,1.0,1.0,10.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
811,Entry Fragger,30,15,151.0,3632,5,1,4,1,3,2,3,1.0,0.0,11.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1476,Entry Fragger,15,23,86.0,2421,2,1,4,0,4,3,2,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1897,Entry Fragger,19,20,93.0,2609,3,2,2,0,5,1,7,0.0,0.0,9.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3249,Entry Fragger,13,20,66.0,1720,1,4,2,0,1,2,14,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Lurker,15,20,76.0,1976,0,1,0,0,2,4,3,1.0,4.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,Lurker,26,34,63.0,2908,1,2,1,0,2,4,21,2.0,0.0,11.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
806,Lurker,14,20,64.0,1541,1,0,1,0,2,4,3,0.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1480,Lurker,18,22,78.0,2194,3,3,2,0,3,2,7,2.0,1.0,8.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
