,Role,Killed,Death,ADR,TotalDamageDealt,RoundMVPs,LastAliveQuantity,Clutches,FirstKills,FirstDeaths,FlashedEnemies,FlashAssists,BombsPlanted,WalkQuantityAsTR,DistanceTraveledAsTR,AK47Kills,MAC10Kills,M4A4Kills,MP9Kills,AWPKills,ScoutKills
1171,Entry Fragger,0.31,0.22,0.32,0.32,0.43,0.25,0.0,0.28,0.0,0.21,0.0,0.22,0.2,0.21,0.33,0.0,0.57,0.0,0.0,0.0
1278,Entry Fragger,0.23,0.2,0.22,0.22,0.25,0.0,0.0,0.13,0.57,0.12,0.38,0.0,0.23,0.2,0.25,0.0,0.57,0.0,0.0,0.0
2067,Entry Fragger,0.23,0.16,0.23,0.23,0.31,0.38,1.0,0.0,0.29,0.54,0.0,0.0,0.16,0.17,0.46,0.0,0.41,0.0,0.0,0.0
1173,Suporte,0.18,0.17,0.16,0.16,0.14,0.25,0.0,0.06,0.14,0.5,1.0,0.33,0.21,0.21,0.08,1.0,0.14,0.0,0.53,0.0
1277,Suporte,0.19,0.21,0.22,0.22,0.17,0.3,0.25,0.13,0.0,0.32,0.25,0.11,0.2,0.19,0.31,0.0,0.29,0.0,0.0,0.0
2065,Suporte,0.17,0.16,0.16,0.16,0.12,0.25,0.0,0.12,0.43,0.16,0.4,0.0,0.2,0.21,0.23,0.0,0.03,0.0,0.18,0.0
1172,Suporte,0.15,0.17,0.17,0.17,0.14,0.0,0.0,0.28,0.43,0.18,0.0,0.22,0.21,0.19,0.17,0.0,0.14,0.0,0.0,0.0
1280,Suporte,0.19,0.23,0.21,0.21,0.33,0.1,0.25,0.2,0.29,0.29,0.25,0.0,0.21,0.2,0.25,1.0,0.0,0.67,0.0,0.0
2063,Suporte,0.21,0.2,0.21,0.21,0.25,0.0,0.0,0.31,0.0,0.16,0.0,1.0,0.26,0.2,0.08,1.0,0.24,0.8,0.0,0.0
2732,Entry Fragger,0.18,0.24,0.18,0.18,0.2,0.07,0.0,0.28,0.33,0.05,0.07,0.11,0.21,0.2,0.12,1.0,0.38,0.0,0.0,0.0
3007,Entry Fragger,0.13,0.24,0.14,0.14,0.27,0.0,0.0,0.33,0.1,0.35,0.11,0.0,0.17,0.21,0.0,0.0,0.33,0.0,0.06,0.0
2733,Lurker,0.18,0.18,0.2,0.2,0.1,0.33,0.5,0.11,0.0,0.24,0.29,0.11,0.21,0.19,0.24,0.0,0.31,0.0,0.0,0.0
3008,Lurker,0.29,0.15,0.25,0.25,0.18,0.83,0.0,0.17,0.1,0.35,0.22,0.5,0.31,0.22,0.73,0.0,0.17,0.0,0.06,0.0
2731,AWPer,0.22,0.17,0.21,0.21,0.4,0.47,0.5,0.22,0.17,0.17,0.29,0.0,0.15,0.2,0.03,0.0,0.0,0.0,1.0,1.0
3006,AWPer,0.31,0.16,0.3,0.3,0.36,0.0,0.0,0.33,0.4,0.29,0.33,0.0,0.13,0.19,0.18,0.0,0.0,0.0,0.88,1.0
2730,Suporte,0.22,0.2,0.2,0.2,0.2,0.0,0.0,0.11,0.08,0.45,0.21,0.78,0.17,0.2,0.18,0.0,0.31,0.0,0.0,0.0
3004,Suporte,0.05,0.24,0.08,0.08,0.0,0.0,0.0,0.08,0.3,0.0,0.22,0.25,0.16,0.2,0.05,1.0,0.0,0.0,0.0,0.0
