ID,Name,TeamName,Role
1168,★ ⑳ De$tiNy,Paquetá Gaming,Entry Fragger
1172,★ ⑳ KHTEXy,Paquetá Gaming,Suporte
2059,★ ⑳ iDk,Paquetá Gaming,Suporte
3007,★ ⑳ voltera,Santos e-Sports,Entry Fragger
2733,★ ⑳ MaLLby,Santos e-Sports,Lurker
3006,★ ⑳ ke1z,Santos e-Sports,AWPer
3004,★ ⑳ BobZ,Santos e-Sports,Suporte
2059,★ ⑳ iDk,Paquetá Gaming,Suporte
3775,★ ㉑ nython,Paquetá Gaming,AWPer
3770,★ ㉑ dav1d,Paquetá Gaming,Lurker
525,★ ⑳ parEdao[9],INTZ,AWPer
3088,★ ⑳ chara *LogitechG,INTZ,Entry Fragger
2589,★ ⑳ paiva,INTZ,Suporte
1458,★ ⑳ guZERA,INTZ,Lurker
1527,★ ⑳ 648,Meta Gaming,AWPer
3809,★ ㉑ wood7,Bravos Gaming,AWPer
3804,★ ㉑ tuurtle,Bravos Gaming,Entry Fragger
3801,★ ㉑ JO†A,Bravos Gaming,Lurker
3806,★ ㉑ kaiG,Bravos Gaming,Suporte
